tract,manhole,parcel,severity,cp_pos,cp_din,cp_dout,cp_fpipe,cp_owner,cp_cross,cp_keep,x,y,decision,comment
Tract 20.23,02201,135716#0,review_required,border,0.0,0.0,28316,,1,0.18,2013958.05,789404.05,split,"auto: equidistant split, kept 18% (in-trace side)"
Tract 20.23,02201,143642#0,warning,border,18.2,38.3,65246,,0,1.0,2015042.27,788149.85,,
Tract 20.23,02201,144214#0,review_required,inner,30.9,4.9,26089,,0,1.0,2018415.52,790688.19,,
Tract 20.23,02201,144215#0,warning,inner,19.9,27.1,26089,,0,1.0,2018501.82,790662.69,,
Tract 20.23,02201,144218#0,review_required,border,0.0,0.0,26089,,1,0.52,2018739.31,790617.94,split,"auto: equidistant split, kept 52% (in-trace side)"
Tract 20.23,02201,144333#0,review_required,border,0.0,0.0,53831,,1,0.53,2017781.93,791143.41,split,"auto: equidistant split, kept 53% (in-trace side)"
Tract 20.23,02201,149677#0,review_required,border,32.9,5.6,26818,Tract 20.20,0,1.0,2017008.33,786155.49,,
Tract 20.23,02201,178136#0,review_required,border,0.0,0.0,28418,Tract 20.20,1,0.39,2015553.14,786770.81,split,"auto: equidistant split, kept 39% (in-trace side)"
Tract 20.20,03442,143375#0,review_required,inner,0.0,0.0,50084,,1,1.0,2012710.21,778726.5,,
Tract 20.20,03442,149677#0,warning,border,5.6,32.9,26792,Tract 20.23,0,1.0,2017008.33,786155.49,,
Tract 20.20,03442,150278#0,review_required,border,0.0,0.0,56137,,1,0.43,2017410.61,778415.32,split,"auto: equidistant split, kept 43% (in-trace side)"
Tract 20.20,03442,150430#0,warning,border,11.5,38.7,31157,,0,1.0,2014676.9,777481.99,,
Tract 20.20,03442,150570#0,review_required,inner,39.8,11.6,31157,,0,1.0,2014757.83,777702.19,,
Tract 20.20,03442,150571#0,warning,inner,11.5,11.5,31157,,0,1.0,2014807.92,777646.37,,
Tract 20.20,03442,150579#0,warning,inner,1.6,18.7,31157,,0,1.0,2014954.66,777721.91,,
Tract 20.20,03442,150580#0,warning,inner,12.0,18.6,31157,,0,1.0,2014885.94,777801.3,,
Tract 20.20,03442,150581#0,warning,inner,11.8,18.6,31157,,0,1.0,2014831.31,777859.76,,
Tract 20.20,03442,178136#0,review_required,border,0.0,0.0,28427,Tract 20.23,1,0.61,2015553.14,786770.81,split,"auto: equidistant split, kept 61% (in-trace side)"
Tract 20.20,03442,223914#0,warning,border,5.0,32.9,61933,,0,1.0,2013483.69,774392.22,,
