flag_type,severity,pipe_id,x,y,description,Human Input
missing_direction,warning,322,2062661.28,806671.04,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,2433,2052334.32,845543.88,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,57044,2012277.88,834432.98,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). No invert data to cross-check.,
missing_direction,warning,10322,2027358.98,831477.76,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,10717,2023434.12,829318.01,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,12821,2029605.25,817780.95,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). No invert data to cross-check.,
missing_direction,warning,13007,2025346.39,817431.81,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,51542,2036457.6,811104.49,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,16465,2046424.27,806776.53,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,16471,2045573.05,806416.39,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,17257,2030899.4,815527.6,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). No invert data to cross-check.,
missing_direction,warning,17345,2039882.89,815924.53,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,57150,2027454.04,815093.71,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). No invert data to cross-check.,
missing_direction,warning,20922,2017387.88,801027.82,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,21504,2001678.97,815030.66,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,21935,2009457.19,811167.46,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,24862,2024591.08,786591.53,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,24879,2024533.81,786969.01,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,34127,2040854.83,829547.67,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). No invert data to cross-check.,
missing_direction,warning,34292,2057509.3,803339.91,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,51345,2020721.51,820394.84,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). Invert elevations also present as cross-check.,
missing_direction,warning,51413,2029100.53,831923.77,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). No invert data to cross-check.,
missing_direction,warning,51536,2040106.94,816283.45,FROMMH/TOMH null. Line geometry encodes flow direction (start point = upstream). No invert data to cross-check.,
