GEOID,B19013_001E,B19013_001M,C17002_001E,C17002_002E,C17002_003E,C17002_001M,C17002_002M,C17002_003M,B19058_001E,B19058_002E,B19058_001M,B19058_002M,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
370630002002,66736.0,25981.0,1345,150,186,369,138,153,436,95,145,99,436,0,6,20,8,0,32,22,13,9,24,105,34,71,26,31,35
370630002003,148449.0,20940.0,978,6,0,308,10,14,372,7,116,13,372,0,0,0,0,9,9,10,0,10,41,17,21,30,88,64,73
370630003013,65793.0,30531.0,1201,82,20,347,50,28,665,11,236,19,665,16,20,0,0,28,0,0,17,130,105,52,110,46,28,46,67
370630003022,82100.0,21740.0,681,26,0,256,44,14,402,0,120,14,402,0,0,0,0,0,0,47,10,0,23,76,83,65,6,7,85
370630003023,66149.0,14956.0,1643,341,22,452,336,16,739,156,189,150,739,22,88,33,12,0,0,74,44,10,8,112,43,45,8,60,180
370630005002,55265.0,25441.0,856,132,16,260,80,27,407,11,112,15,407,17,2,7,53,49,41,0,6,15,43,36,0,12,47,27,52
370630007001,68627.0,21087.0,1737,131,82,288,96,60,1272,226,195,139,1272,76,53,205,92,0,39,18,63,24,0,122,240,116,89,90,45
370630015031,,,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370630022001,90658.0,38448.0,1316,251,9,334,198,14,936,0,242,14,936,192,0,22,0,17,26,15,9,9,57,61,132,35,94,70,197
370630022002,144861.0,36846.0,1721,106,42,308,80,47,1041,10,177,16,1041,25,9,0,25,0,0,11,24,29,38,155,67,85,158,61,354
