GEOID20,P1_001N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P2_002N,P2_003N
370630002002018,234,89,62,2,0,0,25,56,79,155
370630002002019,0,0,0,0,0,0,0,0,0,0
370630002003014,28,18,4,0,2,0,3,1,3,25
370630002003015,36,24,12,0,0,0,0,0,0,36
370630002003016,37,25,8,0,0,0,0,4,3,34
370630002003023,76,42,16,2,3,0,8,5,13,63
370630002003024,0,0,0,0,0,0,0,0,0,0
370630002003013,59,50,2,0,0,0,0,7,5,54
370630003013011,29,26,1,0,1,0,1,0,6,23
370630003013012,16,11,0,0,2,0,0,3,5,11
370630003013014,41,27,4,0,0,0,0,10,6,35
370630003013016,43,34,6,0,0,0,0,3,0,43
370630003013018,34,30,0,0,0,0,0,4,3,31
370630003013019,34,22,3,0,2,0,0,7,7,27
370630003013020,32,28,1,0,2,0,0,1,1,31
370630003013013,61,57,0,0,4,0,0,0,0,61
370630003013015,45,31,6,0,5,0,0,3,5,40
370630003013017,32,27,1,0,2,0,0,2,2,30
370630003022001,129,46,40,9,0,0,29,5,50,79
370630003022009,62,52,4,0,5,0,0,1,0,62
370630003022010,82,9,5,3,1,0,48,16,67,15
370630003022011,56,36,15,0,0,0,3,2,5,51
370630003022012,114,31,27,1,0,0,30,25,50,64
370630003022014,56,52,0,2,0,0,0,2,1,55
370630003023000,52,16,32,0,1,0,0,3,4,48
370630003023002,137,99,10,0,13,0,4,11,6,131
370630003023003,75,63,0,0,3,0,0,9,2,73
370630003023005,28,22,2,2,0,0,0,2,9,19
370630003023006,15,7,1,0,0,0,2,5,5,10
370630003023008,35,25,1,0,0,0,1,8,7,28
370630003023010,62,30,20,0,0,0,9,3,8,54
370630003023011,50,41,3,0,0,0,0,6,1,49
370630003023012,32,18,0,0,2,0,6,6,10,22
370630003023013,19,12,1,1,0,0,3,2,6,13
370630003023014,59,51,3,0,1,0,0,4,5,54
370630003023015,41,33,0,0,3,0,1,4,3,38
370630003023016,56,38,6,2,3,0,0,7,6,50
370630003023017,91,13,22,0,0,0,46,10,53,38
370630003023018,53,31,16,0,3,0,3,0,7,46
370630003023019,53,48,1,0,0,0,4,0,5,48
370630003023020,23,10,1,0,0,0,0,12,3,20
370630003023022,0,0,0,0,0,0,0,0,0,0
370630003023023,134,81,37,0,4,0,9,3,19,115
370630003023025,29,24,0,0,0,0,2,3,5,24
370630003023026,47,30,4,1,3,0,1,8,6,41
370630003023028,11,6,0,0,0,0,3,2,2,9
370630003023029,20,15,0,0,0,0,2,3,3,17
370630003023031,32,25,0,0,2,0,0,5,5,27
370630003023032,42,33,1,0,3,0,0,5,0,42
370630003023001,81,22,18,2,0,0,20,19,34,47
370630003023004,69,48,1,2,0,0,17,1,17,52
370630003023007,22,18,0,0,1,0,1,2,2,20
370630003023009,86,73,2,1,1,0,0,9,7,79
370630003023021,81,67,1,2,6,0,1,4,8,73
370630003023024,74,32,8,6,6,0,10,12,27,47
370630003023027,38,26,5,3,0,0,0,4,8,30
370630003023030,13,12,0,0,0,0,0,1,1,12
370630003023033,16,9,3,0,0,0,0,4,1,15
370630003022015,76,61,3,0,1,0,4,7,7,69
370630005002013,171,112,44,0,0,0,7,8,9,162
370630005002014,68,55,4,0,3,0,4,2,4,64
370630005002015,46,28,10,0,1,0,0,7,2,44
370630005002018,58,38,10,0,0,0,2,8,8,50
370630005002019,14,0,6,0,0,0,1,7,4,10
370630005002000,0,0,0,0,0,0,0,0,0,0
370630005002002,11,0,2,0,4,0,4,1,4,7
370630005002003,0,0,0,0,0,0,0,0,0,0
370630005002004,0,0,0,0,0,0,0,0,0,0
370630005002005,0,0,0,0,0,0,0,0,0,0
370630005002006,0,0,0,0,0,0,0,0,0,0
370630005002007,0,0,0,0,0,0,0,0,0,0
370630005002010,0,0,0,0,0,0,0,0,0,0
370630005002020,63,48,7,1,1,0,4,2,2,61
370630007001000,16,7,0,0,6,0,0,3,0,16
370630007001002,7,2,3,0,0,0,0,2,3,4
370630007001009,0,0,0,0,0,0,0,0,0,0
370630007001010,0,0,0,0,0,0,0,0,0,0
370630007001011,0,0,0,0,0,0,0,0,0,0
370630007001012,0,0,0,0,0,0,0,0,0,0
370630007001001,0,0,0,0,0,0,0,0,0,0
370630015031000,1861,232,1468,0,31,0,78,52,93,1768
370630015031001,0,0,0,0,0,0,0,0,0,0
370630015031002,0,0,0,0,0,0,0,0,0,0
370630015031003,0,0,0,0,0,0,0,0,0,0
370630022001001,0,0,0,0,0,0,0,0,0,0
370630022001004,34,22,0,0,0,0,4,8,3,31
370630022001008,145,126,4,0,7,0,4,4,10,135
370630022001011,0,0,0,0,0,0,0,0,0,0
370630022001015,0,0,0,0,0,0,0,0,0,0
370630022001018,0,0,0,0,0,0,0,0,0,0
370630022001021,0,0,0,0,0,0,0,0,0,0
370630022002003,61,49,5,0,6,0,0,1,2,59
370630022002006,0,0,0,0,0,0,0,0,0,0
370630022002009,0,0,0,0,0,0,0,0,0,0
370630022002029,0,0,0,0,0,0,0,0,0,0
370630022002032,31,29,2,0,0,0,0,0,0,31
